date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2021-05-02,2021,2.6843,66594579.963301666,3020324.4855262716,-5.886683963256434,0.9898553846153848
2021-05-03,2021,2.3135,285560320.23894,3224195.0943225096,-13.813657191819095,1.0109953846153847
2021-05-04,2021,2.4698,556626742.5459601,4589483.4440880865,6.755997406526926,1.0347676923076923
2021-05-05,2021,2.1324,478402720.7722847,3310287.2258572103,-13.661025184225451,1.05474
2021-05-06,2021,3.0205,671228537.2166988,5413046.361620085,41.64790845995123,1.0881415384615385
2021-05-07,2021,3.5220000000000002,381809234.2294298,6047858.925535201,16.603211388842908,1.1287938461538463
2021-05-08,2021,3.7595,430244675.2037648,10751481.177433,6.743327654741615,1.1737584615384618
2021-05-09,2021,5.1735,595016976.85067,21650733.154506527,37.6113844926187,1.2427661538461539
2021-05-10,2021,4.8451,553858996.8458414,4103455.712309658,-6.347733642601705,1.3052507692307693
2021-05-11,2021,4.6524,543578162.8620962,6152171.015233856,-3.977214092588399,1.3645015384615384
2021-05-12,2021,4.6763,545372678.7166026,2777605.239259716,0.5137133522483017,1.4253753846153847
2021-05-13,2021,3.9962,489553783.3530228,4956622.547772339,-14.543549387336153,1.4749815384615386
2021-05-14,2021,4.018,460308267.7065222,5612954.10893256,0.5455182423302007,1.524812307692308
2021-05-15,2021,4.186,490062365.0809148,2492834.294386974,4.181184668989557,1.578606153846154
2021-05-16,2021,3.8108,445387310.9636903,1863064.3781788682,-8.96321070234114,1.6269553846153848
2021-05-17,2021,3.4889,406685520.22544414,2167028.1569126835,-8.447045239844652,1.6710446153846155
2021-05-18,2021,3.0592,87000084.66951098,4149149.3283107053,-12.31620281464072,1.7082723076923076
2021-05-19,2021,4.0822,114676878.66236725,5721822.707444977,33.4401150627615,1.7616907692307693
2021-05-20,2021,2.3965,70270019.32875088,16962134.157626517,-41.293910146489644,1.7893507692307693
2021-05-21,2021,3.1197,88671457.6118614,5691878.816914023,30.177341957020644,1.8272646153846153
2021-05-22,2021,2.2057,62443517.32983959,5235839.268539647,-29.297688880341056,1.8511384615384614
2021-05-23,2021,1.9186,54958952.86077851,2151919.7723095505,-13.01627601215034,1.8712676923076923
2021-05-24,2021,1.71,48596575.85821763,4178928.3647508505,-10.872511206087776,1.8883338461538464
2021-05-25,2021,2.387,67180287.99585164,5284532.729950085,39.5906432748538,1.9154415384615384
2021-05-26,2021,2.6751,76762422.05377015,3747979.938910478,12.069543359865943,1.9477861538461538
2021-05-27,2021,2.6041,74055363.14108326,1759812.6677746302,-2.654106388546229,1.9795307692307693
2021-05-28,2021,2.2846,64701524.99559687,2186667.930491264,-12.269114089320677,2.0058000000000002
2021-05-29,2021,1.8109000000000002,51453827.54149884,3272458.3531787125,-20.734483060491993,2.024969230769231
2021-05-30,2021,1.7164000000000001,48908815.40616466,641872.4262685953,-5.218399690761499,2.0428569230769233
2021-05-31,2021,1.9300000000000002,54761989.29565248,683193.1456455728,12.444651596364476,2.064129230769231
2021-06-01,2021,2.3285,65456496.37800453,1215910.8975212786,20.647668393782382,2.089766153846154
2021-06-02,2021,2.1668,61696592.92297897,470914.4782689512,-6.944384797079673,2.113193846153846
2021-06-03,2021,2.3432,66261075.71215782,1635011.3438101807,8.141037474616963,2.13916
2021-06-04,2021,2.3914,69151928.26205921,2845987.8639152586,2.057016046432225,2.1611553846153844
2021-06-05,2021,2.2415,63841802.391749,1993698.7461538564,-6.268294722756551,2.1780815384615386
2021-06-06,2021,2.1661,61318778.74396643,358603.0453785837,-3.363818871291535,2.1930153846153844
2021-06-07,2021,2.1422,60753930.39377939,1179563.0087566094,-1.1033654955911687,2.206116923076923
2021-06-08,2021,2.4596999999999998,70177063.7758628,2796028.7901914897,14.821211838297078,2.220913846153846
2021-06-09,2021,2.64,75096555.58508708,3916953.3136938796,7.330162214904279,2.2377323076923075
2021-06-10,2021,2.8553,81173972.78529727,1833933.6163494913,8.15530303030303,2.2617615384615384
2021-06-11,2021,2.7919,79444738.11357601,2593922.9827592247,-2.220432178755305,2.286553846153846
2021-06-12,2021,2.2994,64948725.085065484,1836161.3036729335,-17.640316630251807,2.3038723076923078
2021-06-13,2021,2.2665,64737776.72644143,930753.9396813518,-1.430808036879172,2.3197692307692312
2021-06-14,2021,2.3642,67171272.12057133,544822.5635286188,4.310611074343695,2.3371415384615384
2021-06-15,2021,2.535,71966980.92744753,736530.9979680452,7.2244310971999015,2.3541692307692306
2021-06-16,2021,2.321,65978424.13278512,2260287.6553043495,-8.441814595660746,2.3698292307692306
2021-06-17,2021,2.01,57048604.25631024,2118568.592433386,-13.3993968117191,2.3835646153846155
2021-06-18,2021,2.1019,59760360.02487483,805290.6815954432,4.572139303482614,2.397356923076923
2021-06-19,2021,1.9292,54765378.46045135,917004.7862231714,-8.216375660117038,2.411710769230769
2021-06-20,2021,1.9706000000000001,55953351.7986894,782472.9260014459,2.1459672403068675,2.4264030769230773
2021-06-21,2021,1.9703,56023329.36976518,1038900.0363866971,-0.015223789708729285,2.439156923076923
2021-06-22,2021,1.4339,41187728.97638536,1130651.0709370263,-27.224280566411206,2.443850769230769
2021-06-23,2021,1.4457,40985016.83511186,1725093.9443982835,0.8229304693493367,2.4514446153846152
